s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
7.4702,75,-0.00287436,-0.00192799,-0.000672139,0.00203674,0,38.2584,183.272
7.76031,78,-0.002963,-0.00188602,-0.000644974,0.00194485,0,37.9742,183.33
7.76031,78,-0.002963,-0.00188602,-0.000644974,0.00194485,0,37.9742,183.33
8.05647,81,-0.00303722,-0.00184451,-0.000617544,0.00189209,0,37.684,183.389
8.05647,81,-0.00303722,-0.00184451,-0.000617544,0.00189209,0,37.684,183.389
8.35729,84,-0.00318825,-0.00173256,-0.000576798,0.00117216,0,37.3892,183.449
8.35729,84,-0.00318825,-0.00173256,-0.000576798,0.00117216,0,37.3892,183.449
8.65583,87,-0.00329137,-0.00160026,-0.000537915,0.00194778,0,37.0967,183.509
8.65583,87,-0.00329137,-0.00160026,-0.000537915,0.00194778,0,37.0967,183.509
8.95493,90,-0.00337244,-0.00153203,-0.000509952,0.00192522,0,36.8036,183.568
8.95493,90,-0.00337244,-0.00153203,-0.000509952,0.00192522,0,36.8036,183.568
9.25848,93,-0.00343681,-0.00147496,-0.000482522,0.00184801,0,36.5062,183.629
9.25848,93,-0.00343681,-0.00147496,-0.000482522,0.00184801,0,36.5062,183.629
9.56782,96,-0.00349131,-0.00142084,-0.000455624,0.00180412,0,36.203,183.691
9.56782,96,-0.00349131,-0.00142084,-0.000455624,0.00180412,0,36.203,183.691
9.88152,99,-0.00362516,-0.00131608,-0.00042047,0.00124522,0,35.8957,183.753
9.88152,99,-0.00362516,-0.00131608,-0.00042047,0.00124522,0,35.8957,183.753
10.1925,102,-0.00371313,-0.00119332,-0.00038505,0.001877,0,35.5909,183.815
10.1925,102,-0.00371313,-0.00119332,-0.00038505,0.001877,0,35.5909,183.815
10.5038,105,-0.00375827,-0.00112617,-0.000360283,0.0018609,0,35.2859,183.877
10.5038,105,-0.00375827,-0.00112617,-0.000360283,0.0018609,0,35.2859,183.877
10.8194,108,-0.00378593,-0.00106956,-0.000336847,0.00179648,0,34.9767,183.94
10.8194,108,-0.00378593,-0.00106956,-0.000336847,0.00179648,0,34.9767,183.94
11.1404,111,-0.00382097,-0.00101905,-0.000315009,0.00176071,0,34.662,184.004
11.1404,111,-0.00382097,-0.00101905,-0.000315009,0.00176071,0,34.662,184.004
11.4656,115,-0.00385476,-0.000937452,-0.00028891,0.00133341,0,34.3434,184.069
11.4656,115,-0.00385476,-0.000937452,-0.00028891,0.00133341,0,34.3434,184.069
11.7877,118,-0.00392453,-0.000835392,-0.000260414,0.00183631,0,34.0278,184.133
11.7877,118,-0.00392453,-0.000835392,-0.000260414,0.00183631,0,34.0278,184.133
12.1099,121,-0.00394031,-0.000775068,-0.000239641,0.00182374,0,33.7121,184.198
12.1099,121,-0.00394031,-0.000775068,-0.000239641,0.00182374,0,33.7121,184.198
12.436,124,-0.00399539,-0.000726957,-0.000221532,0.00176962,0,33.3925,184.263
12.436,124,-0.00399539,-0.000726957,-0.000221532,0.00176962,0,33.3925,184.263
12.7676,128,-0.00402262,-0.000693393,-0.000207683,0.00174021,0,33.0676,184.329
12.7676,128,-0.00402262,-0.000693393,-0.000207683,0.00174021,0,33.0676,184.329
13.1029,131,-0.00408458,-0.000635025,-0.00018984,0.00141648,0,32.739,184.396
13.1029,131,-0.00408458,-0.000635025,-0.00018984,0.00141648,0,32.739,184.396
13.4349,134,-0.00410725,-0.00055887,-0.000169068,0.00181336,0,32.4137,184.462
13.4349,134,-0.00410725,-0.00055887,-0.000169068,0.00181336,0,32.4137,184.462
13.7667,138,-0.00411927,-0.00051508,-0.000154687,0.00179952,0,32.0885,184.528
13.7667,138,-0.00411927,-0.00051508,-0.000154687,0.00179952,0,32.0885,184.528
14.1024,141,-0.00420709,-0.000485453,-0.000143768,0.00175395,0,31.7596,184.595
14.1024,141,-0.00420709,-0.000485453,-0.000143768,0.00175395,0,31.7596,184.595
14.4432,144,-0.00425906,-0.000464172,-0.000135245,0.00172611,0,31.4256,184.663
14.4432,144,-0.00425906,-0.000464172,-0.000135245,0.00172611,0,31.4256,184.663
14.7876,148,-0.00426987,-0.000429406,-0.000125125,0.00148082,0,31.0881,184.732
14.7876,148,-0.00426987,-0.000429406,-0.000125125,0.00148082,0,31.0881,184.732
15.1284,151,-0.00461893,-0.0161009,-0.00474452,-0.101435,0.0304215,30.7542,184.8
15.1284,151,-0.00461893,-0.0161009,-0.00474452,-0.101435,0.0304215,30.7542,184.8
15.4687,155,-0.00794896,-0.0515197,-0.0150886,-0.102065,0.0304215,30.4206,184.868
15.4687,155,-0.00794896,-0.0515197,-0.0150886,-0.102065,0.0304215,30.4206,184.868
15.8126,158,-0.0148997,-0.0883697,-0.0255441,-0.103442,0.0304215,30.0834,184.936
15.8126,158,-0.0148997,-0.0883697,-0.0255441,-0.103442,0.0304215,30.0834,184.936
16.1609,162,-0.0165678,-0.102214,-0.0291594,-0.205132,0.0304215,29.7402,184.997
16.1609,162,-0.0165678,-0.102214,-0.0291594,-0.205132,0.0304215,29.7402,184.997
16.5123,165,-0.0128943,-0.10075,-0.0287466,-0.218381,0.0304215,29.3926,185.049
16.5123,165,-0.0128943,-0.10075,-0.0287466,-0.218381,0.0304215,29.3926,185.049
16.8597,169,-0.00729148,-0.0942982,-0.0272364,-0.22618,0.0304215,29.048,185.095
