x_refer,y_refer,x_leftEdge,y_leftEdge,x_rightEdge,y_rightEdge
45.578,181.78,44.9404260472781,178.644506307788,46.2159785758347,184.916106242963
45.48,181.8,44.842432298291,178.664436816046,46.1179848268476,184.936036751222
45.382,181.82,44.7444385493039,178.684367324305,46.0199910778604,184.95596725948
45.284,181.84,44.6464448003168,178.704297832564,45.9219973288733,184.975897767739
45.186,181.86,44.5484510513297,178.724228340822,45.8240035798862,184.995828275998
45.088,181.88,44.4504573023426,178.744158849081,45.7260098308991,185.015758784257
44.99,181.9,44.3524635533554,178.76408935734,45.628016081912,185.035689292515
44.892,181.92,44.2544698043683,178.784019865598,45.5300223329249,185.055619800774
44.794,181.94,44.1564760553812,178.803950373857,45.4320285839378,185.075550309033
44.696,181.96,44.0584823063941,178.823880882116,45.3340348349506,185.095480817291
44.598,181.98,43.960488557407,178.843811390375,45.2360410859635,185.11541132555
44.5,182,43.8624948084199,178.863741898633,45.1380473369764,185.135341833809
44.402,182.019,43.7645010594327,178.883672406892,45.0400535879893,185.155272342067
44.304,182.039,43.6665073104456,178.903602915151,44.9420598390022,185.175202850326
44.206,182.059,43.5685135614585,178.923533423409,44.844066090015,185.195133358585
44.108,182.079,43.4705198124714,178.943463931668,44.7460723410279,185.215063866844
44.01,182.099,43.3725260634843,178.963394439927,44.6480785920408,185.234994375102
43.912,182.119,43.2745323144972,178.983324948185,44.5500848430537,185.254924883361
43.814,182.139,43.17653856551,179.003255456444,44.4520910940666,185.27485539162
43.716,182.159,43.0785448165229,179.023185964703,44.3540973450795,185.294785899878
43.618,182.179,42.9805510675358,179.043116472962,44.2561035960923,185.314716408137
43.52,182.199,42.8825573185487,179.06304698122,44.1581098471052,185.334646916396
43.422,182.219,42.7845635695616,179.082977489479,44.0601160981181,185.354577424654
43.324,182.239,42.6865698205745,179.102907997738,43.962122349131,185.374507932913
43.226,182.259,42.5885760715873,179.122838505996,43.8641286001439,185.394438441172
43.128,182.279,42.4905823226002,179.142769014255,43.7661348511568,185.41436894943
43.03,182.298,42.3925885736131,179.162699522514,43.6681411021696,185.434299457689
42.932,182.318,42.294594824626,179.182630030772,43.5701473531825,185.454229965948
42.834,182.338,42.1966010756389,179.202560539031,43.4721536041954,185.474160474207
42.736,182.358,42.0986073266518,179.22249104729,43.3741598552083,185.494090982465
42.638,182.378,42.0006135776646,179.242421555548,43.2761661062212,185.514021490724
42.54,182.398,41.9026198286775,179.262352063807,43.1781723572341,185.533951998983
42.442,182.418,41.8046260796904,179.282282572066,43.0801786082469,185.553882507241
42.344,182.438,41.7066323307033,179.302213080325,42.9821848592598,185.5738130155
42.246,182.458,41.6086385817162,179.322143588583,42.8841911102727,185.593743523759
42.148,182.478,41.510644832729,179.342074096842,42.7861973612856,185.613674032017
42.05,182.498,41.4126510837419,179.362004605101,42.6882036122985,185.633604540276
41.952,182.518,41.3146573347548,179.381935113359,42.5902098633114,185.653535048535
41.854,182.538,41.2166635857677,179.401865621618,42.4922161143242,185.673465556793
41.756,182.558,41.1186698367806,179.421796129877,42.3942223653371,185.693396065052
41.658,182.578,41.0206760877935,179.441726638135,42.29622861635,185.713326573311
41.56,182.597,40.9226823388063,179.461657146394,42.1982348673629,185.73325708157
41.462,182.617,40.8246885898192,179.481587654653,42.1002411183758,185.753187589828
41.364,182.637,40.7266948408321,179.501518162912,42.0022473693887,185.773118098087
41.266,182.657,40.628701091845,179.52144867117,41.9042536204015,185.793048606346
41.168,182.677,40.5307073428579,179.541379179429,41.8062598714144,185.812979114604
41.07,182.697,40.4327135938708,179.561309687688,41.7082661224273,185.832909622863
40.972,182.717,40.3347198448836,179.581240195946,41.6102723734402,185.852840131122
40.875,182.737,40.2367260958965,179.601170704205,41.5122786244531,185.87277063938
40.777,182.757,40.1387323469094,179.621101212464,41.414284875466,185.892701147639
40.679,182.777,40.0407385979223,179.641031720722,41.3162911264788,185.912631655898
40.581,182.797,39.9427448489352,179.660962228981,41.2182973774917,185.932562164157
40.483,182.817,39.8447510999481,179.68089273724,41.1203036285046,185.952492672415
40.385,182.837,39.7467573509609,179.700823245499,41.0223098795175,185.972423180674
40.287,182.857,39.6487636019738,179.720753753757,40.9243161305304,185.992353688933
40.189,182.876,39.5507698529867,179.740684262016,40.8263223815433,186.012284197191
40.091,182.896,39.4527761039996,179.760614770275,40.7283286325561,186.03221470545
39.993,182.916,39.3547823550125,179.780545278533,40.630334883569,186.052145213709
39.895,182.936,39.2567886060254,179.800475786792,40.5323411345819,186.072075721967
39.797,182.956,39.1587948570382,179.820406295051,40.4343473855948,186.092006230226
39.699,182.976,39.0608011080511,179.840336803309,40.3363536366077,186.111936738485
39.601,182.996,38.962807359064,179.860267311568,40.2383598876206,186.131867246744
39.503,183.016,38.8648136100769,179.880197819827,40.1403661386334,186.151797755002
39.405,183.036,38.7668198610898,179.900128328085,40.0423723896463,186.171728263261
39.307,183.056,38.6688261121027,179.920058836344,39.9443786406592,186.19165877152
39.209,183.076,38.5708323631155,179.939989344603,39.8463848916721,186.211589279778
39.111,183.096,38.4728386141284,179.959919852862,39.748391142685,186.231519788037
39.013,183.116,38.3748448651413,179.97985036112,39.6503973936979,186.251450296296
38.915,183.136,38.2768511161542,179.999780869379,39.5524036447107,186.271380804554
38.817,183.156,38.1788573671671,180.019711377638,39.4544098957236,186.291311312813
38.719,183.175,38.08086361818,180.039641885896,39.3564161467365,186.311241821072
38.621,183.195,37.9828698691928,180.059572394155,39.2584223977494,186.33117232933
38.523,183.215,37.8848761202057,180.079502902414,39.1604286487623,186.351102837589
