s,match_i,ed,ed_dot,efai,efai_dot,project_curv,ego_x,ego_y
7.4702,75,-0.00287512,-0.00192014,-0.000669476,0.00203692,0,38.2584,183.272
7.76031,78,-0.00296376,-0.00187818,-0.000642311,0.00194534,0,37.9742,183.33
7.76031,78,-0.00296376,-0.00187818,-0.000642311,0.00194534,0,37.9742,183.33
8.05646,81,-0.00303798,-0.00183769,-0.000615147,0.00189262,0,37.684,183.389
8.05646,81,-0.00303798,-0.00183769,-0.000615147,0.00189262,0,37.684,183.389
8.35729,84,-0.00318901,-0.0017245,-0.000574134,0.00117217,0,37.3892,183.449
8.35729,84,-0.00318901,-0.0017245,-0.000574134,0.00117217,0,37.3892,183.449
8.65583,87,-0.00329137,-0.0015932,-0.000535519,0.00194795,0,37.0967,183.509
8.65583,87,-0.00329137,-0.0015932,-0.000535519,0.00194795,0,37.0967,183.509
8.95493,90,-0.0033732,-0.00152292,-0.000507023,0.00192511,0,36.8036,183.568
8.95493,90,-0.0033732,-0.00152292,-0.000507023,0.00192511,0,36.8036,183.568
9.25848,93,-0.00343757,-0.00146663,-0.000479592,0.00184855,0,36.5062,183.629
9.25848,93,-0.00343757,-0.00146663,-0.000479592,0.00184855,0,36.5062,183.629
9.56782,96,-0.00349207,-0.00141337,-0.000453227,0.00180401,0,36.203,183.691
9.56782,96,-0.00349207,-0.00141337,-0.000453227,0.00180401,0,36.203,183.691
9.88152,99,-0.00362592,-0.00130706,-0.000417541,0.00124575,0,35.8957,183.753
9.88152,99,-0.00362592,-0.00130706,-0.000417541,0.00124575,0,35.8957,183.753
10.1925,102,-0.00371465,-0.00118703,-0.000383186,0.00187746,0,35.5909,183.815
10.1925,102,-0.00371465,-0.00118703,-0.000383186,0.00187746,0,35.5909,183.815
10.5038,105,-0.00377398,-0.00111873,-0.000357886,0.00186107,0,35.2859,183.877
10.5038,105,-0.00377398,-0.00111873,-0.000357886,0.00186107,0,35.2859,183.877
10.8193,108,-0.00378745,-0.00106243,-0.00033445,0.00179775,0,34.9767,183.94
10.8193,108,-0.00378745,-0.00106243,-0.00033445,0.00179775,0,34.9767,183.94
11.1404,111,-0.00383669,-0.00101228,-0.000312878,0.00176066,0,34.662,184.004
11.1404,111,-0.00383669,-0.00101228,-0.000312878,0.00176066,0,34.662,184.004
11.4656,115,-0.00385552,-0.000927437,-0.00028598,0.00133363,0,34.3434,184.069
11.4656,115,-0.00385552,-0.000927437,-0.00028598,0.00133363,0,34.3434,184.069
11.7877,118,-0.00392605,-0.000827545,-0.000258017,0.00183674,0,34.0278,184.133
11.7877,118,-0.00392605,-0.000827545,-0.000258017,0.00183674,0,34.0278,184.133
12.1099,121,-0.00397174,-0.000767947,-0.000237511,0.00182429,0,33.7121,184.198
12.1099,121,-0.00397174,-0.000767947,-0.000237511,0.00182429,0,33.7121,184.198
12.436,124,-0.00399615,-0.000723012,-0.0002202,0.00177103,0,33.3925,184.263
12.436,124,-0.00399615,-0.000723012,-0.0002202,0.00177103,0,33.3925,184.263
12.7676,128,-0.00402414,-0.00068713,-0.000205819,0.00174074,0,33.0676,184.329
12.7676,128,-0.00402414,-0.00068713,-0.000205819,0.00174074,0,33.0676,184.329
13.1029,131,-0.00408534,-0.000629229,-0.000188242,0.0014169,0,32.739,184.396
